source,source_type,target_maithili,target_script,notes
मेहनत कर,candidate,,Devanagari,auto_from_transcript freq=1
कर सकूँ,candidate,,Devanagari,auto_from_transcript freq=1
सकूँ जीतना,candidate,,Devanagari,auto_from_transcript freq=1
जीतना करसको,candidate,,Devanagari,auto_from_transcript freq=1
करसको करने,candidate,,Devanagari,auto_from_transcript freq=1
करने मुड़,candidate,,Devanagari,auto_from_transcript freq=1
मुड़ आज,candidate,,Devanagari,auto_from_transcript freq=1
आज मैरी,candidate,,Devanagari,auto_from_transcript freq=1
मैरी उर्जा,candidate,,Devanagari,auto_from_transcript freq=1
उर्जा वो,candidate,,Devanagari,auto_from_transcript freq=1
ही engineer,candidate,,Devanagari,auto_from_transcript freq=1
engineer person,candidate,,Devanagari,auto_from_transcript freq=1
person loves,candidate,,Devanagari,auto_from_transcript freq=1
loves mathematics,candidate,,Devanagari,auto_from_transcript freq=1
mathematics ask,candidate,,Devanagari,auto_from_transcript freq=1
ask srinivasa,candidate,,Devanagari,auto_from_transcript freq=1
srinivasa ramanujan,candidate,,Devanagari,auto_from_transcript freq=1
ramanujan indian,candidate,,Devanagari,auto_from_transcript freq=1
indian mathematician,candidate,,Devanagari,auto_from_transcript freq=1
