source,source_type,target_maithili,target_script,notes
बग कर,candidate,बग कय,Devanagari,'बग' transliterated.
कर पाऊं,candidate,कय सकब,Devanagari,Common phrase for 'be able to do'.
पाऊं लेकिन,candidate,सकब मुदा,Devanagari,"Common phrase for 'able to, but'."
लेकिन मेरे,candidate,मुदा हमर,Devanagari,Common phrase for 'but my'.
मेरे प्रयास,candidate,हमर प्रयास,Devanagari,Common phrase for 'my effort'.
प्रयास कमी,candidate,प्रयास मे कमी,Devanagari,Common phrase for 'lack in effort'.
कमी रहेगी,candidate,कमी रहत,Devanagari,Common phrase for 'lack will remain'.
रहेगी मैंने,candidate,रहत। हम,Devanagari,Common phrase for 'will remain. I'.
मैंने कह,candidate,हम कहलिऐ,Devanagari,Common phrase for 'I said'.
कह देशवासियों,candidate,कह देशवासी सब केँ,Devanagari,Common phrase for 'say to countrymen'.
देशवासियों वादा,candidate,देशवासी सब केँ वादा,Devanagari,"Common phrase for 'countrymen, promise'."
वादा करता,candidate,वादा करैत,Devanagari,"Common phrase for 'promise, doing'."
करता हूँ,candidate,करैत छी,Devanagari,Common phrase for 'I do'.
हूँ कि,candidate,छी कि,Devanagari,Maithili equivalent for 'am that'.
कि मै,candidate,जे हम,Devanagari,Maithili for 'that I'.
मै कभी,candidate,हम कहियो,Devanagari,Maithili for 'I ever/sometimes'.
कभी बी,candidate,कहियो सेहो,Devanagari,Maithili for 'ever also/even' (interpreting 'बी' as 'भी').
बी परिश्रम,candidate,सेहो परिश्रम,Devanagari,Maithili for 'also hard work' (interpreting 'बी' as 'भी').
परिश्रम करने,candidate,परिश्रम करबाक,Devanagari,Maithili for 'of doing hard work'.
करने पीछे,candidate,करबाक पाछाँ,Devanagari,Maithili for 'behind doing'.
पीछे रहूंगा।,candidate,पाछाँ रहब।,Devanagari,Maithili for 'I will stay behind'.
रहूंगा। दूसरा,candidate,रहब। दोसर,Devanagari,Maithili for 'I will stay. Second'.
दूसरा कहता,candidate,दोसर कहैत अछि,Devanagari,Maithili for 'second one says'.
कहता कि,candidate,कहैत अछि जे,Devanagari,Maithili for 'says that'.
कि बद,candidate,जे खराब,Devanagari,Maithili for 'that bad'.
बद इरादे,candidate,खराब नियत,Devanagari,Maithili for 'bad intentions'.
इरादे कोई,candidate,नियत कोनो,Devanagari,Maithili for 'intentions any'.
कोई काम,candidate,कोनो काज,Devanagari,Maithili for 'any work'.
काम करूँगा,candidate,काज करब,Devanagari,Maithili for 'I will do work'.
करूँगा तीसरा,candidate,करब। तेसर,Devanagari,Maithili for 'I will do. Third'.
तीसरा कहता,candidate,तेसर कहैत अछि,Devanagari,Maithili for 'third one says'.
कहता मेरे,candidate,कहैत अछि हमर,Devanagari,Maithili for 'says my'.
मेरे लिए,candidate,हमरा लेल,Devanagari,Maithili for 'for me'.
लिए कुछ,candidate,लेल किछु,Devanagari,Maithili for 'for something'.
कुछ करूँगा,candidate,किछु करब,Devanagari,Maithili for 'I will do something'.
करूँगा आज,candidate,करब। आइ,Devanagari,Maithili for 'I will do. Today'.
आज मुझे,candidate,आइ हमरा,Devanagari,Maithili for 'today to me'.
मुझे साल,candidate,हमरा साल,Devanagari,Maithili for 'to me year'.
साल हो,candidate,साल भेल,Devanagari,Year become
हो गए,candidate,भऽ गेल,Devanagari,Became/happened
गए इतने,candidate,गेल एतेक,Devanagari,Went so many/much
इतने लंबे,candidate,एतेक लम्बा,Devanagari,So long
लंबे कालखन,candidate,लम्बा कालखंड,Devanagari,Long period of time
कालखन head,candidate,कालखंड प्रमुख,Devanagari,Period head/chief
head government,candidate,सरकारक प्रमुख,Devanagari,Head of government
government given,candidate,सरकार देल,Devanagari,Government gave
given work,candidate,देल गेल काज,Devanagari,Work given
work weighed,candidate,काज तौलल,Devanagari,Work weighed
weighed myself,candidate,अपन तौलल,Devanagari,Weighed myself
myself three,candidate,अपन तीन,Devanagari,Myself three
three pillars,candidate,तीन स्तम्भ,Devanagari,Three pillars
pillars inspiration,candidate,स्तम्भ प्रेरणा,Devanagari,Pillars inspiration
inspiration billion,candidate,प्रेरणा अरब,Devanagari,Inspiration billion
billion people,candidate,अरब लोक,Devanagari,Billion people
people लोगों,candidate,लोक लोकसभ,Devanagari,"People, the people (plural)"
लोगों सेवा,candidate,लोकक सेवा,Devanagari,Service of people
सेवा उनके,candidate,सेवा ओकर,Devanagari,Service their
उनके एस्पिरेशन,candidate,ओकर एस्पिरेशन,Devanagari,Their aspiration (borrowed term)
एस्पिरेशन उंकी,candidate,एस्पिरेशन ओकर,Devanagari,Aspiration their (borrowed term)
उंकी आवशक्ता,candidate,ओकर आवश्यकता,Devanagari,Their need
आवशक्ता है।,candidate,आवश्यकता अछि।,Devanagari,Need is.
है। जितनी,candidate,अछि। जतेक,Devanagari,Is. As much as
जितनी मेहनत,candidate,जतेक मेहनत,Devanagari,As much hard work
मेहनत कर,candidate,परिश्रम करू,Devanagari,Translate 'work hard' (imperative).
कर सकूँ,candidate,करि सकैत छी,Devanagari,Translate 'I can do' or 'I am able to do'.
सकूँ जीतना,candidate,जिति सकैत छी,Devanagari,Translate 'I can win'.
जीतना करसको,candidate,जतेक करि सकू,Devanagari,Translate 'as much as you can do'.
करसको करने,candidate,करि सकबाक लेल,Devanagari,Translate 'for being able to do'.
करने मुड़,candidate,करबाक लेल घुमू,Devanagari,Translate 'turn to do'.
मुड़ आज,candidate,आइ घुमू,Devanagari,Translate 'turn today'.
आज मैरी,candidate,आइ मैरी,Devanagari,Translate 'today Mary'.
मैरी उर्जा,candidate,मैरीक ऊर्जा,Devanagari,Translate 'Mary's energy'.
उर्जा वो,candidate,ऊर्जा ओ,Devanagari,Translate 'that energy'.
ही engineer,candidate,मात्र इंजीनियर,Devanagari,Translate 'only engineer'.
engineer person,candidate,इंजीनियर व्यक्ति,Devanagari,Translate 'engineer person'.
person loves,candidate,व्यक्ति प्रेम करैत अछि,Devanagari,Translate 'person loves'.
loves mathematics,candidate,गणित सँ प्रेम करैत अछि,Devanagari,Translate 'loves mathematics'.
mathematics ask,candidate,गणित पूछू,Devanagari,Translate 'ask mathematics' (imperative).
ask srinivasa,candidate,श्रीनिवास सँ पूछू,Devanagari,Translate 'ask Srinivasa' (imperative).
srinivasa ramanujan,candidate,श्रीनिवास रामानुजन,Devanagari,Transliteration of proper noun.
ramanujan indian,candidate,रामानुजन भारतीय,Devanagari,"Translate 'Ramanujan, Indian'."
indian mathematician,candidate,भारतीय गणितज्ञ,Devanagari,Translate 'Indian mathematician'.
